year,close
01-01-2018,3484
01-01-2017,2974
01-01-2016,3077
01-01-2015,2581
01-01-2014,2383
01-01-2013,2612
01-01-2012,2245
01-01-2011,1861
01-01-2010,2089
01-01-2009,2054
01-01-2008,2399
01-01-2007,2303
01-01-2006,2558
01-01-2005,2113
